id,age_in_years,neighbourhood,beds,daily_rev_per_2_guests,review_scores_rating,total_rev
862523,4.54,De Aker - Nieuw Sloten,2,130,91,5200
1018336,4.54,Centrum-West,4,249,97,27888
862597,4.54,Oostelijk Havengebied - Indische Buurt,2,86,96,18576
881491,4.54,De Baarsjes - Oud-West,1,110,94,11000
3109338,4.54,Osdorp,4,95,86,6270
863448,4.54,Centrum-West,2,75,89,32400
863485,4.54,Bos en Lommer,2,75,89,2850
1885011,4.54,De Pijp - Rivierenbuurt,1,70,95,6300
863892,4.54,De Pijp - Rivierenbuurt,2,129,90,1032
864041,4.54,De Baarsjes - Oud-West,1,113,94,25764
865152,4.53,Geuzenveld - Slotermeer,6,225,90,4050
1370166,4.53,Centrum-Oost,4,175,90,4900
866523,4.53,Slotervaart,1,65,100,260
866644,4.53,De Pijp - Rivierenbuurt,1,90,83,15480
866867,4.53,Centrum-West,3,120,91,20640
867418,4.53,Oostelijk Havengebied - Indische Buurt,1,80,89,11200
4861970,4.53,Bos en Lommer,2,80,90,960
922489,4.53,Noord-West,1,90,100,720
2482541,4.53,Westerpark,5,249,92,11952
3113434,4.52,De Pijp - Rivierenbuurt,1,94,100,752
869961,4.52,De Pijp - Rivierenbuurt,4,180,100,3240
874688,4.52,Oud-Oost,9,275,100,19800
4049668,4.52,Oostelijk Havengebied - Indische Buurt,1,69,92,3312
874057,4.52,De Baarsjes - Oud-West,1,130,80,3120
872390,4.52,Oud-Noord,2,100,95,9600
5183000,4.52,De Baarsjes - Oud-West,2,69,100,138
2003379,4.52,De Baarsjes - Oud-West,2,69,55,552
4808350,4.52,De Baarsjes - Oud-West,2,69,60,138
4808354,4.52,De Baarsjes - Oud-West,2,69,52,690
4711125,4.52,De Baarsjes - Oud-West,2,69,51,1242
2733238,4.52,Bos en Lommer,2,80,95,7040
873448,4.52,Westerpark,1,150,100,9600
877702,4.51,Centrum-Oost,2,150,100,600
874315,4.51,Centrum-Oost,2,99,95,44352
2516920,4.51,Oud-Noord,1,95,91,3420
1291054,4.51,Noord-West,1,60,88,14400
874340,4.51,Noord-West,2,60,91,16800
2516878,4.51,Oud-Noord,1,85,77,4080
3523881,4.51,De Pijp - Rivierenbuurt,1,65,94,3380
874584,4.51,Westerpark,1,110,100,2640
1548947,4.51,Zuid,1,99,99,2970
3707441,4.51,Westerpark,2,100,90,800
876543,4.51,Oud-Noord,6,120,85,9600
876733,4.51,Oud-Oost,2,140,100,5600
3366731,4.51,Zuid,1,109,100,12644
4264784,4.51,Westerpark,1,89,100,712
3532705,4.51,Oud-Noord,3,125,80,1500
3824126,4.51,Zuid,1,89,100,1068
2109739,4.51,Centrum-West,2,200,90,800
2345576,4.51,Centrum-Oost,3,345,100,16560
1675292,4.5,Bos en Lommer,2,75,96,1500
847093,4.5,De Baarsjes - Oud-West,6,160,95,4160
882800,4.5,Centrum-West,1,110,100,660
1767709,4.5,Zuid,1,149,98,7152
3088648,4.5,Centrum-West,1,90,99,6480
3476713,4.5,Westerpark,1,149,100,11622
883544,4.5,Centrum-Oost,1,69,94,27738
5111865,4.5,Zuid,6,450,100,1800
884108,4.5,Noord-West,2,110,98,880
3320805,4.5,Westerpark,1,98,100,1764
3426783,4.5,Westerpark,1,95,93,1140
2712077,4.5,Centrum-West,1,90,87,3060
1580944,4.5,De Baarsjes - Oud-West,1,120,94,1440
884329,4.5,De Aker - Nieuw Sloten,1,115,97,45080
885008,4.5,Centrum-Oost,1,275,100,3300
1436294,4.5,Centrum-Oost,2,65,94,32370
3104501,4.5,Slotervaart,3,120,91,2640
888201,4.49,De Baarsjes - Oud-West,2,129,97,12384
888874,4.49,Zuid,1,89,94,40940
1522998,4.49,De Baarsjes - Oud-West,3,135,100,3780
4376149,4.49,Westerpark,2,95,93,4180
4943604,4.49,Oud-Oost,2,40,100,240
894310,4.49,Westerpark,1,94,97,10152
889702,4.49,Noord-West,2,80,50,1440
4857657,4.49,Centrum-Oost,4,425,100,850
3969019,4.49,Slotervaart,6,189,100,378
3968953,4.49,Slotervaart,1,79,95,1264
891641,4.49,Centrum-West,1,95,91,44460
3444136,4.49,Watergraafsmeer,1,100,93,3200
1965216,4.49,Westerpark,1,98,100,3528
2261343,4.49,Centrum-Oost,1,175,100,1050
4716083,4.48,De Baarsjes - Oud-West,1,140,100,1120
895007,4.48,Centrum-West,1,95,98,79800
1960467,4.48,Zuid,1,85,98,3060
894870,4.48,Centrum-Oost,4,225,97,38250
1799156,4.48,Bos en Lommer,1,110,96,2200
895684,4.48,Westerpark,1,250,98,5000
895792,4.48,Centrum-West,3,175,97,22400
891695,4.48,Centrum-Oost,1,138,98,45540
896368,4.48,De Pijp - Rivierenbuurt,1,85,99,3570
896473,4.48,Slotervaart,2,299,95,4784
2167574,4.48,De Pijp - Rivierenbuurt,1,125,95,15750
3677031,4.48,Bos en Lommer,2,100,90,3200
957396,4.48,IJburg - Zeeburgereiland,6,250,100,4500
899040,4.47,Centrum-West,1,175,99,85050
899382,4.47,Oud-Oost,1,79,93,8848
5362110,4.47,Centrum-Oost,3,90,80,540
1891590,4.47,Centrum-Oost,2,150,90,18900
5244273,4.47,Westerpark,1,100,100,1600
901247,4.47,Centrum-West,4,110,96,4180
900282,4.47,De Baarsjes - Oud-West,1,95,93,24510
1070439,4.47,Centrum-West,2,200,89,12000
1458905,4.47,Slotervaart,4,135,100,1620
903311,4.47,Oostelijk Havengebied - Indische Buurt,8,295,90,20060
3145548,4.47,De Baarsjes - Oud-West,1,100,80,2400
3814846,4.47,De Baarsjes - Oud-West,1,100,78,4800
1803678,4.47,De Pijp - Rivierenbuurt,1,89,94,10680
905426,4.47,Bos en Lommer,2,90,95,6480
1077678,4.46,Zuid,1,109,95,10464
925645,4.46,Centrum-West,1,180,99,10800
1184255,4.46,De Baarsjes - Oud-West,1,99,98,4752
910143,4.46,De Baarsjes - Oud-West,7,350,96,29400
5292391,4.46,Centrum-West,1,99,100,594
908465,4.46,De Pijp - Rivierenbuurt,1,100,98,3600
4800080,4.46,Centrum-West,1,200,100,4000
909221,4.46,Centrum-Oost,2,200,98,13200
1521776,4.46,De Baarsjes - Oud-West,2,98,97,2744
4962579,4.46,De Baarsjes - Oud-West,1,70,90,560
4448285,4.46,De Baarsjes - Oud-West,1,95,100,1140
3112229,4.46,Zuid,2,65,93,6630
911078,4.45,Centrum-West,1,60,97,3840
1650175,4.45,De Baarsjes - Oud-West,4,180,98,14400
911536,4.45,Centrum-West,1,130,94,15600
912223,4.45,Centrum-West,3,120,96,66720
1378086,4.45,Centrum-West,3,249,96,38844
2776506,4.45,De Pijp - Rivierenbuurt,2,120,93,6480
3036565,4.45,De Pijp - Rivierenbuurt,2,250,100,2000
5087114,4.45,De Pijp - Rivierenbuurt,3,250,100,1000
5087007,4.45,De Pijp - Rivierenbuurt,1,94,84,940
3071715,4.45,De Pijp - Rivierenbuurt,1,97,92,9700
4983146,4.45,De Pijp - Rivierenbuurt,2,103,93,1854
1350096,4.45,Oud-Oost,1,86,97,3956
914797,4.45,Centrum-West,2,115,87,2300
915719,4.45,Centrum-West,4,135,96,2700
916096,4.45,Centrum-West,2,125,88,28750
1178074,4.45,De Pijp - Rivierenbuurt,2,99,88,7128
916564,4.45,Watergraafsmeer,2,135,100,1620
916850,4.45,Noord-West,4,147,97,14700
917277,4.45,Osdorp,1,98,90,784
919118,4.44,Oostelijk Havengebied - Indische Buurt,1,76,97,7904
919131,4.44,Zuid,6,349,100,39786
4308844,4.44,Zuid,1,120,100,480
2071034,4.44,Centrum-West,1,99,96,20592
920368,4.44,Centrum-West,1,69,91,21528
926442,4.44,Centrum-West,1,99,94,25740
2623311,4.44,Centrum-West,1,105,90,4620
5157405,4.44,Centrum-Oost,2,110,100,660
4677669,4.44,Centrum-Oost,1,95,80,380
3867028,4.44,Oud-Oost,1,95,100,380
922441,4.44,De Pijp - Rivierenbuurt,1,119,100,1904
922780,4.44,Centrum-Oost,1,140,96,20160
1502744,4.44,Zuid,2,130,90,5200
923247,4.44,Zuid,1,125,94,9000
924566,4.43,De Baarsjes - Oud-West,3,80,73,6720
4172357,4.43,Watergraafsmeer,1,110,80,1100
1129563,4.43,Centrum-Oost,3,147,100,5292
1792271,4.43,Westerpark,1,100,98,6600
2389047,4.43,Centrum-West,4,150,77,7800
2322497,4.43,Centrum-West,4,150,86,18600
3518086,4.43,Centrum-West,3,150,84,13800
925543,4.43,Centrum-West,2,85,76,13600
929181,4.43,Centrum-West,1,85,80,7140
3851423,4.43,Westerpark,3,250,93,4500
4522433,4.43,Centrum-Oost,2,180,96,15120
5274778,4.43,Centrum-West,3,145,100,870
925623,4.43,Centrum-Oost,2,160,87,5760
3763957,4.43,De Pijp - Rivierenbuurt,2,115,87,2070
5120441,4.43,De Pijp - Rivierenbuurt,2,100,100,800
5351117,4.43,De Baarsjes - Oud-West,2,139,100,834
3046673,4.43,De Baarsjes - Oud-West,2,90,87,11340
3324197,4.43,Oostelijk Havengebied - Indische Buurt,2,69,78,3726
5453115,4.43,Centrum-West,1,115,88,3450
4453330,4.43,Oostelijk Havengebied - Indische Buurt,2,110,100,660
4551843,4.43,Oud-Oost,2,88,100,1056
3754672,4.43,Centrum-Oost,2,99,96,6930
3171348,4.43,Centrum-Oost,2,95,87,18620
2421604,4.43,Centrum-West,2,110,100,1320
4890311,4.43,Westerpark,1,100,80,400
3257668,4.43,De Baarsjes - Oud-West,1,110,90,2640
4080264,4.43,Centrum-Oost,1,80,92,11040
4890448,4.43,De Pijp - Rivierenbuurt,1,150,100,1800
4749353,4.43,Westerpark,1,115,93,5520
4506762,4.43,Centrum-West,2,110,82,6600
3823815,4.43,Oostelijk Havengebied - Indische Buurt,1,85,100,340
3911109,4.43,Westerpark,1,109,90,1308
3942897,4.43,Westerpark,1,115,97,4140
3393172,4.43,Centrum-Oost,2,99,87,14256
4877976,4.43,Zuid,1,125,60,750
4034965,4.43,De Pijp - Rivierenbuurt,1,85,100,1020
3149772,4.43,Westerpark,1,145,88,2900
4543466,4.43,Oostelijk Havengebied - Indische Buurt,1,85,80,680
4327324,4.43,De Pijp - Rivierenbuurt,1,115,90,1840
2813613,4.43,Westerpark,1,114,80,1368
4080461,4.43,Centrum-West,1,80,88,5120
4875735,4.43,Centrum-West,2,105,85,2520
3189819,4.43,Centrum-Oost,2,120,84,30240
2419287,4.43,Centrum-West,1,100,86,10800
4884344,4.43,De Pijp - Rivierenbuurt,1,89,90,1068
3883287,4.43,De Baarsjes - Oud-West,1,79,82,4740
4628685,4.43,Centrum-West,1,95,93,5320
3879000,4.43,Bos en Lommer,1,50,99,6000
2954902,4.43,De Baarsjes - Oud-West,1,210,100,2520
931977,4.43,Centrum-West,2,160,95,9920
1111662,4.43,Bos en Lommer,3,130,83,2340
1102702,4.43,Bos en Lommer,1,45,84,1980
3840321,4.43,Oud-Oost,2,65,99,8060
928480,4.43,Centrum-West,2,140,70,840
1664458,4.43,Oud-Oost,1,120,100,10560
1333878,4.43,Oostelijk Havengebied - Indische Buurt,2,100,97,2800
936710,4.43,IJburg - Zeeburgereiland,7,130,95,26000
1217226,4.43,De Baarsjes - Oud-West,1,110,98,5940
4242837,4.43,Oud-Oost,1,99,93,2376
3290024,4.43,Centrum-West,2,249,98,11952
2573704,4.43,Centrum-Oost,2,210,84,2520
930852,4.43,Centrum-Oost,1,175,97,2100
4479454,4.43,Zuid,1,85,100,510
4144116,4.43,Buitenveldert - Zuidas,1,99,100,1188
3307814,4.42,De Baarsjes - Oud-West,1,160,90,1280
931801,4.42,De Baarsjes - Oud-West,1,110,95,9020
931980,4.42,Centrum-West,2,155,94,8680
932133,4.42,De Pijp - Rivierenbuurt,3,60,88,8400
4818544,4.42,De Pijp - Rivierenbuurt,2,85,95,1360
932649,4.42,Watergraafsmeer,1,95,100,7980
1329032,4.42,Centrum-West,1,135,94,13770
933174,4.42,De Pijp - Rivierenbuurt,3,200,98,25200
933306,4.42,Bos en Lommer,1,99,96,4356
933523,4.42,IJburg - Zeeburgereiland,2,125,96,2500
1398395,4.42,Zuid,1,79,93,2370
933698,4.42,De Baarsjes - Oud-West,1,110,96,3300
1018421,4.42,Westerpark,2,145,90,1160
934060,4.42,Westerpark,16,385,91,32340
1109494,4.42,De Baarsjes - Oud-West,1,118,96,42480
1117368,4.42,De Baarsjes - Oud-West,1,100,88,1000
2573222,4.42,Centrum-West,2,160,93,7680
2047502,4.42,Centrum-Oost,6,265,94,47700
2021168,4.42,Centrum-Oost,2,169,98,11154
3920749,4.42,Centrum-West,2,200,100,2000
1440217,4.42,Zuid,3,129,100,4644
954974,4.42,Westerpark,1,80,96,5120
3722931,4.42,Centrum-Oost,1,125,100,3000
937635,4.42,De Baarsjes - Oud-West,4,117,88,12636
938669,4.41,Centrum-Oost,4,175,96,85400
2527472,4.41,Oud-Oost,2,89,93,6408
939211,4.41,Westerpark,2,95,98,3420
939698,4.41,Oostelijk Havengebied - Indische Buurt,4,165,98,3630
4698005,4.41,Westerpark,1,99,100,2376
940369,4.41,Centrum-Oost,2,125,94,8000
5098926,4.41,De Pijp - Rivierenbuurt,1,79,95,2370
1642884,4.41,De Baarsjes - Oud-West,4,229,92,24732
2358030,4.41,De Baarsjes - Oud-West,2,89,95,2136
941285,4.41,De Baarsjes - Oud-West,1,125,89,31500
2942499,4.41,De Baarsjes - Oud-West,1,90,96,2700
1380741,4.41,Slotervaart,1,79,97,8216
1166169,4.41,Oud-Noord,4,120,92,7200
3207218,4.41,Watergraafsmeer,2,150,100,1800
4717542,4.41,Oostelijk Havengebied - Indische Buurt,1,75,100,450
5325936,4.41,Slotervaart,2,80,89,1760
2152428,4.41,Zuid,5,125,95,2000
946142,4.4,Westerpark,1,87,93,46980
3336727,4.4,Bos en Lommer,1,60,94,7200
962066,4.4,De Pijp - Rivierenbuurt,1,70,96,6160
943625,4.4,De Baarsjes - Oud-West,1,70,94,9240
4872957,4.4,Centrum-West,1,200,100,400
1508944,4.4,Bos en Lommer,3,198,89,26928
944529,4.4,Bos en Lommer,2,108,86,17280
3736177,4.4,Bos en Lommer,2,98,60,784
3866131,4.4,De Baarsjes - Oud-West,1,86,100,1032
4866035,4.4,De Pijp - Rivierenbuurt,1,65,95,520
2929338,4.4,Westerpark,1,90,100,180
4724281,4.4,Centrum-West,2,200,90,3200
946729,4.4,De Pijp - Rivierenbuurt,1,139,93,3336
947437,4.4,Osdorp,2,75,92,2850
998139,4.4,Oostelijk Havengebied - Indische Buurt,1,86,94,8600
947542,4.4,Oud-Oost,2,130,98,6760
1791028,4.4,Oud-Oost,1,89,95,2314
1804707,4.4,Slotervaart,1,105,92,7560
2343092,4.4,Oostelijk Havengebied - Indische Buurt,1,70,100,2940
951111,4.39,Centrum-West,1,99,87,13860
951483,4.39,Oud-Oost,3,115,100,1380
951605,4.39,IJburg - Zeeburgereiland,1,65,95,4680
954341,4.39,De Baarsjes - Oud-West,1,99,94,17028
1021290,4.39,Centrum-Oost,1,189,100,5292
954664,4.39,De Baarsjes - Oud-West,1,85,97,4760
2813797,4.39,Centrum-West,2,200,100,2000
2429933,4.39,Centrum-West,1,150,100,900
1666116,4.38,De Baarsjes - Oud-West,2,155,87,930
957182,4.38,Centrum-Oost,1,95,98,11400
1153909,4.38,Centrum-West,1,140,100,4760
959043,4.38,De Pijp - Rivierenbuurt,1,130,95,6760
3336207,4.38,De Pijp - Rivierenbuurt,2,150,89,6600
960091,4.38,Slotervaart,1,70,88,6720
4159580,4.38,De Baarsjes - Oud-West,1,76,100,304
4434484,4.38,Centrum-Oost,5,500,80,4000
1319013,4.38,Centrum-Oost,3,169,89,8788
985155,4.37,Centrum-Oost,1,80,93,5120
963427,4.37,Zuid,8,360,100,4320
964076,4.37,De Pijp - Rivierenbuurt,1,99,99,7128
3432883,4.37,Zuid,2,175,100,2450
4502001,4.37,Centrum-West,2,160,100,320
3909954,4.37,De Pijp - Rivierenbuurt,1,90,100,360
1968267,4.37,Centrum-West,4,135,93,78300
1017951,4.37,De Pijp - Rivierenbuurt,6,125,95,3750
1390050,4.36,Oostelijk Havengebied - Indische Buurt,2,145,90,5220
969862,4.36,Zuid,3,85,89,6460
4774677,4.36,Oostelijk Havengebied - Indische Buurt,1,95,100,760
970749,4.36,Centrum-Oost,1,150,98,10800
3107162,4.36,Bos en Lommer,1,89,92,1780
1749960,4.36,Watergraafsmeer,2,60,88,7200
1042439,4.36,Westerpark,1,150,97,14400
2492675,4.36,Oud-Oost,1,85,93,1020
3757160,4.36,De Baarsjes - Oud-West,1,110,93,4840
2120210,4.36,Oud-Noord,6,220,100,6160
2120206,4.36,Oud-Noord,2,90,97,2520
3974845,4.36,Oud-Noord,1,80,98,3840
1999685,4.36,De Baarsjes - Oud-West,3,100,100,1800
974725,4.36,Oud-Noord,2,120,96,2400
2976795,4.36,Oud-Noord,1,115,92,2300
4035799,4.36,De Pijp - Rivierenbuurt,1,99,93,594
4560469,4.36,Centrum-West,4,300,100,600
978890,4.36,De Pijp - Rivierenbuurt,1,200,100,800
1431183,4.36,De Pijp - Rivierenbuurt,1,175,93,2100
977123,4.36,Westerpark,2,100,93,5600
977116,4.36,Centrum-Oost,3,160,94,35520
1073117,4.36,Centrum-West,2,160,100,3840
999033,4.36,Centrum-Oost,1,140,90,10080
2929209,4.36,Zuid,2,200,92,6000
978043,4.36,Centrum-Oost,2,170,96,37400
4626747,4.36,Westerpark,2,85,91,2380
1076673,4.35,De Pijp - Rivierenbuurt,2,120,91,10560
4668381,4.35,Centrum-West,2,150,100,600
5758685,4.35,Osdorp,1,60,100,120
1682706,4.35,De Pijp - Rivierenbuurt,6,400,86,26400
1447024,4.35,Centrum-West,3,140,97,44240
4286813,4.35,De Baarsjes - Oud-West,1,79,100,948
989027,4.35,Westerpark,1,95,96,8360
2755514,4.35,Zuid,2,70,89,5880
2964432,4.35,Centrum-West,2,220,100,2640
2542835,4.35,De Pijp - Rivierenbuurt,2,218,83,7848
4697415,4.35,Centrum-West,1,130,100,3900
